Column1,Player,Role,Nation,Team,Images,,
125,Rohit Sharma ,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/6.png,,
126,Suryakumar Yadav,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/174.png,,
127,Tilak Varma,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/993.png,,
128,Ramandeep Singh,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/991.png,,
129,Dewald Brevis,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/797.png,,
130,Ishan Kishan ,WK-Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png,,
131,Sandeep Warrsier,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/228.png,,
132,Kumar Kartikeya Singh,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1015.png,,
133,Jofra Archer,Bowler,"

England

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/181.png,,
134,Hrithik Shokeen,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/992.png,,
135,Arjun Tendulkar,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/585.png,,
136,Tim David,All-rounder,"

Singapore

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/636.png,,
137,Tristan Stubbs,WK-Batsman,"

South Africa

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1017.png,,
138,Arshad Khan,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/988.png,,
139,Akash Madhwal,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1045.png,,
140,Jason Behrendorff,Bowler,"

Australia

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/4.png,,
141,Cameron Green,All-rounder,"

Australia

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/550.png,,
142,Riley Meredith,Bowler,Australia,Mumbai Indians,https://www.iplt20.com/assets/images/default-headshot.png,,
143,Piyush Chawla,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/149.png,,
144,Duan Jansen,All-rounder,"

South Africa

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1227.png,,
145,Shams Mulani,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/600.png,,
146,Nehal Wadhera,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1541.png,,
147,Vishnu Vinod,WK-Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/581.png,,
148,Raghav Goyal,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1933.png,,
149,Bhanuka Rajapaksa,Batsman,Sri Lanka,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/372.png,,
150,Shahrukh Khan,Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/590.png,,
151,Shikhar Dhawan,Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/11.png,,
152,Prabhsimran Singh ,WK-Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/137.png,,
153,Jitesh Sharma ,WK-Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,,
154,Matthew Short,All-rounder,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2032.png,,
155,Arshdeep Singh,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/125.png,,
156,Gurnoor Singh Brar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1231.png,,
157,Nathan Ellis,Bowler,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/633.png,,
158,Harpreet Brar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/130.png,,
159,Rahul Chahar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/171.png,,
160,Kagiso Rabada,Bowler,"

South Africa

",Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/116.png,,
161,Baltej Singh,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/994.png,,
162,Liam Livingstone,All-rounder,England,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/183.png,,
163,Rishi Dhawan,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/996.png,,
164,Atharva Taide,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,,
165,Sam Currsan,All-rounder,England,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,,
166,Sikandar Raza,All-rounder,Zimbabwe,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/820.png,,
167,"Harpreet Bhatia

",Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1934.png,,
168,"
Vidwath Kaverappa

",Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1564.png,,
169,"

Mohit Rathee

",All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1935.png,,
170,"

Shivam Singh

",All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1936.png,,
171,Matthew Short,Batsman,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2032.png,,
172,Yashasvi Jaiswal,Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/533.png,,
173,Devdutt Padikkal,Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/200.png,,
174,Shimron Hetmyer,Batsman,West Indies,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/210.png,,
175,Sanju Samson ,WK-Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/190.png,,
176,Jos Buttler ,WK-Batsman,England,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/182.png,,
177,Dhruv Jurel ,WK-Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1004.png,,
178,Kuldip Yadav,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/593.png,,
179,Navdeep Saini,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/207.png,,
180,Kuldeep Sen,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1005.png,,
181,Obed McCoy,Bowler,West Indies,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/645.png,,
182,KC Kariappa,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/227.png,,
183,Yuzvendra Chahal,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/10.png,,
184,Trent Boult,Bowler,New Zealand,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/66.png,,
185,Riyan Parag,All-rounder,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/189.png,,
186,Ravichandran Ashwin,All-rounder,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/45.png,,
187,Jason Holder,All-rounder,West Indies,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/263.png,,
188,Donovan Ferrseira,WK-Batsman,South Africa,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2033.png,,
189,Kunal Rathore,WK-Batsman,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1540.png,,
190,Adam Zampa,Bowler,Australia,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/24.png,,
191,KM Asif,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/88.png,,
192,Murugan Ashwin,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/135.png,,
193,Akash Vashisht,All-rounder,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1938.png,,
194,Abdul Basith,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1542.png,,
195,Joe Root,Batter,England,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/312.png,,
196,Sandeep Sharma,Bowler,India,Rajasthan Royals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/220.png,,
197,Virat Kohli,Batsman,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,,
198,Suyash Prabhudessai,Batsman,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/598.png,,
199,Faf du Plessis,Batsman,South Africa,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png,,
200,Vyshak Vijay Kumar,Bowler,India,Royal Challengers Bangalore,https://www.iplt20.com/assets/images/default-headshot.png,,
201,Anuj Rawat ,WK-Batsman,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/534.png,,
202,Finn Allen ,WK-Batsman,New Zealand,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/595.png,,
203,Dinesh Karthik ,WK-Batsman,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/13.png,,
204,Mohammed Siraj,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/63.png,,
205,Karn Sharma,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/98.png,,
206,Siddarth Kaul,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/64.png,,
207,Josh Hazlewood,Bowler,Australia,Royal Challengers Bangalore,https://www.iplt20.com/assets/images/default-headshot.png,,
208,Harshal Patel,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/114.png,,
209,Akash Deep,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1007.png,,
210,Glenn Maxwell,All-rounder,Australia,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/28.png,,
211,David Willey,All-rounder,England,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/90.png,,
212,Mahipal Lomror,All-rounder,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/184.png,,
213,Shahbaz Ahmed,All-rounder,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/523.png,,
214,Wanindu Hasaranga,All-rounder,Sri Lanka,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/377.png,,
215,Wayne Parnell,Bowling Allrounder,South Africa,Royal Challengers Bangalore,https://www.iplt20.com/assets/images/default-headshot.png,,
216,Michael Bracewell,Allrounder,New Zealand,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1465.png,,
217,Himanshu Sharma,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1568.png,,
218,Manoj Bhandage,Allrounder,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1485.png,,
219,Rajan Kumar,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1503.png,,
220,Avinash Singh,Bowler,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1939.png,,
221,R Sonu Yadav,Allrounder,India,Royal Challengers Bangalore,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1940.png,,
222,Aiden Markram,Batsman,South Africa,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/287.png,,
223,Rahul Tripathi,Batsman,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/188.png,,
224,Glenn Phillips ,WK-Batsman,New Zealand,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/635.png,,
225,Umran Malik,Bowler,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/637.png,,
226,Fazal Haq Farooqi,Bowler,Afghanistan,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1011.png,,
227,Kartik Tyagi,Bowler,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/536.png,,
228,T Natarajan,Bowler,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/224.png,,
229,Bhuvneshwar Kumar,Bowler,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/15.png,,
230,Abdul Samad,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/525.png,,
231,Marco Jansen,All-rounder,South Africa,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/586.png,,
232,Abhishek Sharma,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/212.png,,
233,Washington Sundar,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/20.png,,
234,Harrsy Brook,Batsman,England,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1218.png,,
235,Mayank Agarwal,Batsman,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/55.png,,
236,Heinrich Klaasen,WK-Batsman,South Africa,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/202.png,,
237,Adil Rashid,Bowler,England,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/311.png,,
238,Mayank Markande,Bowler,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/87.png,,
239,Vivrant Sharma,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1942.png,,
240,Samarth Vyas,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1534.png,,
241,Sanvir Singh,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1943.png,,
242,Upendra Yadav,WK-Batsman,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1472.png,,
243,Mayank Dagar,All-rounder,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1547.png,,
244,Nitish Kumar Reddy,WK-Batsman,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1944.png,,
245,Akeal Hosein,Bowler,West Indies,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/722.png,,
246,Anmolpreet Singh,Batman,India,Sunrisers Hyderabad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/159.png,,
